モンスタID,モンスタ名,ドロップ1,ドロップ率,ドロップ2,ドロップ率,ドロップ3,ドロップ率,ドロップ4,ドロップ率,ドロップ5,ドロップ率,ドロップ6,ドロップ率,ドロップ7,ドロップ率,ドロップ8,ドロップ率
2083,一角スカラバ,一角兜,6376,オリデオコン,16,エルニウム,16,エルダーの枝,10,インペリアルスピア [1],10,エルヴンボウ [1],16,イクシオンの羽 [1],10,スカラバカード,1
2084,双角スカラバ,双角兜,6500,オリデオコン,13,エルニウム,13,エルダーの枝,27,クロムメタルツーハンドソード,0,ドゥルガー [1],0,クロムメタルソード,13,スカラバカード,1
2085,鹿角スカラバ,鹿角兜,5000,オリデオコン,0,エルニウム,200,エルダーの枝,1000,ブラックウィング [1],0,カルガメイス [2],0,アイアンドライバー,0,スカラバカード,1
2086,剛角スカラバ,剛角兜,5000,オリデオコン,0,エルニウム,200,ボーンプレート [1],10,赤いエーテルバッグ [1],10,ラフィネスタッフ,0,グリーンホイッスル [1],10,スカラバカード,1
2087,女王スカラバ,女王の羽の欠片,1000,アルカブリンガー,50,メテオプレート [1],20,ミスティックボウ,50,クロムメタルツーハンドソード,50,リンゴ,0,リンゴ,0,女王スカラバカード,1
2088,一角スカラバの卵,割れた卵のかけら,500,ハチ蜜,0,エルニウム,0,オリデオコン,0,インペリアルガード [1],0,リンゴ,0,リンゴ,0,リンゴ,0
2089,双角スカラバの卵,割れた卵のかけら,5000,ハチ蜜,0,エルニウム,0,オリデオコン,0,インペリアルガード [1],0,リンゴ,0,リンゴ,0,リンゴ,0
2090,鹿角スカラバの卵,割れた卵のかけら,5000,ハチ蜜,1000,エルニウム,0,オリデオコン,0,インペリアルガード [1],2,リンゴ,0,リンゴ,0,リンゴ,0
2091,剛角スカラバの卵,割れた卵のかけら,5000,ハチ蜜,1000,エルニウム,10,オリデオコン,0,インペリアルガード [1],2,リンゴ,0,リンゴ,0,リンゴ,0
2092,ドロメデス,白い蜘蛛の足,3000,小さなブラディウム,1000,ブラディウム,500,稀少なルーン原石,10,ブラディウムリング [1],2,ステムウィップ [1],10,リンゴ,0,ドロメデスカード,1
2131,ニーズヘッグ,エンシェントダガー,0,金の指輪,0,イグドラシルの実,0,イグドラシルの種,0,イグドラシルの葉,0,フレイムグローブ [1],0,リンゴ,0,リンゴ,0
2132,ポムスパイダー,モーラオレンジ,1176,短い足,1029,フルーツバスケット,515,クロムメタルソード,0,メンタルスティック [1],0,リンゴ,0,リンゴ,0,ポムスパイダーカード,1
2133,アングラマンティス,枯れた花,5556,軟らかい草の葉,1296,グレイトネイチャ,0,覇王乱舞 [1],185,リンゴ,0,リンゴ,0,リンゴ,0,アングラマンティスカード,1
2134,パルス,丸い羽根,0,ロペの手掛かり,0,ロペの手掛かり,0,ロペの手掛かり,0,柔らかい羽毛,0,神秘のルーン原石,0,リンゴ,0,パルスカード,1
2136,リトルファートゥム,妖精の魔法の粉,5000,光の粒,0,ダンスシューズ [1],0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リトルファートゥムカード,1
2137,ミミン,金色の毛,5000,光の粒,0,黄金,0,テレキネシスオーブ,0,リンゴ,0,リンゴ,0,リンゴ,0,ミミンカード,1
2138,守護者の記憶の破片(1),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2139,守護者の記憶の破片(1)(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2140,守護者の記憶の破片(2),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2141,守護者の記憶の破片(2)(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2142,守護者の記憶の破片(3),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2143,守護者の記憶の破片(3)(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2144,鹿角スカラバ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2145,剛角スカラバ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2151,アーノルディ,植物の茎,4561,ヒナレの葉,494,若芽,304,アロエの葉,287,クローバー,249,花びら,219,リンゴ,0,アーノルディカード,1
2152,デワタドラゴン,にく,9130,セルー,8696,かえるの卵,4565,デワタドラゴンの皮,5652,リンゴ,0,リンゴ,0,リンゴ,0,デワタドラゴンカード,1
2153,極楽鳥,極楽鳥の羽,9005,鳥の羽毛,9041,柔らかい羽毛,8018,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,極楽鳥カード,1
2154,バナスパティ,ジャルゴン,1786,エルニウム,1607,オリデオコン原石,1250,石炭,357,炎の矢,714,リンゴ,0,リンゴ,0,バナスパティカード,1
2155,ブトイジョ,べとべとする液体,3171,ペットフード,0,ヒナレの葉,732,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,ブトイジョカード,1
2156,レヤック,稀少なルーン原石,1000,ハチ蜜,3000,古い紫色の箱,1000,イグドラシルの実,1000,黄金,3000,ティドゥン [1],0,ハンティングスピア [1],0,レヤックカード,1
2157,バナスパティ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2161,ヘラクレススカラバ,一角兜,5000,オリデオコン,0,エルニウム,0,エルダーの枝,0,インペリアルスピア [1],0,ラフィネスタッフ,0,イクシオンの羽 [1],0,甲帝スカラバカード,1
2162,コーカサススカラバ,双角兜,3000,オリデオコン,0,エルニウム,0,エルダーの枝,0,クロムメタルツーハンドソード,0,ドゥルガー [1],0,クロムメタルソード,0,甲帝スカラバカード,1
2163,レギウススカラバ,鹿角兜,5000,オリデオコン,0,エルニウム,0,エルダーの枝,0,ブラックウィング [1],0,カルガメイス [2],0,アイアンドライバー,0,甲帝スカラバカード,1
2164,アトラススカラバ,剛角兜,3000,オリデオコン,0,エルニウム,0,ボーンプレート [1],0,赤いエーテルバッグ [1],0,エルヴンボウ [1],0,グリーンホイッスル [1],0,甲帝スカラバカード,1
2165,女帝スカラバ,女王の羽の欠片,0,アルカブリンガー,10,クレイトス大地の裂け目 [1],50,ミスティックボウ,0,クロムメタルツーハンドソード,10,リンゴ,0,リンゴ,0,女帝スカラバカード,1
2166,ヘラクレススカラバの卵,割れた卵のかけら,5000,ハチ蜜,0,エルニウム,0,オリデオコン,0,インペリアルガード [1],0,リンゴ,0,リンゴ,0,リンゴ,0
2167,コーカサススカラバの卵,割れた卵のかけら,5000,ハチ蜜,0,エルニウム,0,オリデオコン,0,インペリアルガード [1],0,リンゴ,0,リンゴ,0,リンゴ,0
2168,レギウススカラバの卵,割れた卵のかけら,5000,ハチ蜜,1000,エルニウム,0,オリデオコン,0,インペリアルガード [1],2,リンゴ,0,リンゴ,0,リンゴ,0
2169,アトラススカラバの卵,割れた卵のかけら,5000,ハチ蜜,1000,エルニウム,10,オリデオコン,0,インペリアルガード [1],2,リンゴ,0,リンゴ,0,リンゴ,0
2170,レギウススカラバ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2171,アトラススカラバ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,スカラバカード,1
2172,ヘラクレススカラバ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2173,コーカサススカラバ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2174,古代のバドン,かにニッパ,9500,ガレット,5200,ブルージェムストーン,2800,おいしいゼリー,2000,クリスタルブルー,0,エルニウム原石,0,アクアマリン,0,宝箱,0
2175,用心棒イカ,墨汁,1000,触手,0,ブドウ,0,ミスティックフローズン,0,アクアマリン,0,慧眼,0,リンゴ,0,リンゴ,0
2176,深海のカニ,かにニッパ,8500,かにのこうら,5625,ブルージェムストーン,1562,おいしいゼリー,1250,星の粉,0,エルニウム原石,312,アクアマリン,0,宝箱,0
2177,深海のカナトウス,貝,9500,けっこうかたい皮,2500,メント,2500,おいしいゼリー,1000,クリスタルブルー,400,エルニウム原石,0,アクアマリン,0,宝箱,0
2178,深海のお化け貝,貝殻,8750,貝のむきみ,5833,クリーヴァー,2000,リリースオブウィッシュ,2500,宝箱,1000,おいしいゼリー,700,グラディウス [3],1750,ポールアクス [1],0
2179,古代のククレ,蟲の皮,9800,ガレット,5000,猫型乾パン,3000,おいしいゼリー,1200,クリスタルブルー,200,エルニウム原石,100,アクアマリン,100,宝箱,0
2180,変異のストラウフ,背びれ,0,やわらかな毛,0,白ハーブ,0,おいしいゼリー,0,オリデオコン原石,0,グリーンホイッスル [1],0,アクアマリン,0,宝箱,0
2181,古代のソードフィッシュ,鋭い鱗,0,トゲがついているエラ,0,白ハーブ,0,おいしいゼリー,0,ダブルバウンド [3],0,オリデオコン原石,0,アクアマリン,0,宝箱,0
2182,古代のマルク,背びれ,0,白ハーブ,0,おいしいゼリー,0,青ハーブ,0,ハートブレイカー [1],0,オリデオコン原石,0,アクアマリン,0,宝箱,0
2183,変異のアノリアン,アノリアンの皮膚,0,白ハーブ,0,おいしいゼリー,0,ローヤルゼリー,0,オリデオコン原石,0,アクアマリン,0,アルシェピース,0,宝箱,0
2184,古代のオボンヌ,人魚の心臓,0,背びれ,0,白ハーブ,0,おいしいゼリー,0,オリデオコン原石,0,アクアマリン,0,カイザーナックル,0,宝箱,0
2185,変異の河童,アロエの葉,0,猿の爪,0,白ハーブ,0,おいしいゼリー,0,オリデオコン原石,0,アクアマリン,0,ステムウィップ [1],0,宝箱,0
2187,暗黒のシーラカンス,マラン・Aコイン,0,海神の怒り,0,マラン・Aコイン,0,宝箱,0,白ハーブ,0,おいしいゼリー,0,高級武器の箱,0,暗黒のシーラカンスカード,1
2188,異形のシーラカンス,マラン・Aコイン,0,海神の怒り,0,マラン・Aコイン,0,高級武器の箱,0,白ハーブ,0,おいしいゼリー,0,カルガメイス [2],0,異形のシーラカンスカード,1
2189,変異のシーラカンス,マラン・Aコイン,0,海神の怒り,0,マラン・Aコイン,0,高級武器の箱,0,白ハーブ,0,おいしいゼリー,0,ハンティングスピア [1],0,変異のシーラカンスカード,1
2190,暴虐のシーラカンス,マラン・Aコイン,0,海神の怒り,0,マラン・Aコイン,0,高級武器の箱,0,宝箱,0,白ハーブ,0,おいしいゼリー,0,暴虐のシーラカンスカード,1
2191,巨大な海藻,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2192,子分タコ,墨汁,3000,触手,3000,蛸壺の欠片,100,海洋深層水,100,リンゴ,0,リンゴ,0,リンゴ,0,子分タコカード,1
2193,頭領タコの足,墨汁,1000,触手,0,べとべとする液体,0,蛸壺の欠片,0,海洋深層水,0,リンゴ,0,リンゴ,0,リンゴ,0
2194,頭領タコ,白ポーションパック,0,ポールアクス [1],0,高級武器の箱,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,頭領タコカード,1
2197,レッドエルマ,貝殻,2779,砂のかけら,1706,貝のむきみ,536,偽装缶詰,682,エルニウム原石,0,オリデオコン原石,97,古く青い箱,3,レッドエルマカード,1
2198,キングドラモ,けっこうかたい皮,0,エビの触角,0,えびニッパ,0,ポイズンナイフ,0,ブラッディティアーズ [2],0,リンゴ,0,リンゴ,0,キングドラモカード,1
2199,シオラバ,おいしいゼリー,0,ドクロ,0,スケルボーン,0,亡者の牙,0,ぼろぼろの服,0,砂漠の夕暮れ [2],0,砂漠の風 [4],0,シオラバカード,1
2201,スロフォ,背びれ,0,ぬめぬめする液体,0,放電する触角,0,氷の破片,0,蛇蝎大全集 [2],0,リンゴ,0,リンゴ,0,スロフォカード,1
2202,クラーケン,太古のしめ縄,0,クラーケンの足,0,クラーケンの頭,0,クラーケンの目,0,シャピニハ海の叫び [1],0,リンゴ,0,リンゴ,0,クラーケンカード,1
2203,ドフレ,墨汁,1000,蛸壺の欠片,100,海洋深層水,0,氷の結晶,0,閃光の爪 [2],20,リンゴ,0,リンゴ,0,ドフレカード,1
2204,セドラ,墨汁,1000,大きなボタン,2000,乳白色の布,100,スタッフオブピアーシング,0,戦慄のカタール [2],0,リンゴ,0,リンゴ,0,セドラカード,1
2205,タクン,魚の尻尾,10000,鋭い牙,5000,大きなボタン,0,サンゴ,0,スキューバーマスク,0,シャピニハ海の叫び,0,古いカード帖,0,リンゴ,0
2208,ワイルドライダー,おいしいゼリー,2500,トゲがついているエラ,5000,アクアマリン,500,古い紫色の箱,50,ミスティックフローズン,500,光の粒,1600,リンゴ,0,ワイルドライダーカード,1
2221,ランデル=ロレンス(転生二次職),囚人の腕輪,10000,研究記録,10000,思念体の髑髏,0,思念体の髑髏,0,亡者の冷気,0,インペリアルスピア [1],0,インペリアルガード [1],0,ランデル=ロレンスカード,1
2222,エミュール=プラメール(転生二次職),囚人の腕輪,10000,研究記録,10000,思念体の髑髏,0,思念体の髑髏,0,亡者の冷気,0,コンバットナイフ,0,スローター,0,エミュール=プラメールカード,1
2223,セリア=アルデ(転生二次職),囚人の腕輪,10000,研究記録,10000,思念体の髑髏,0,思念体の髑髏,0,亡者の冷気,0,黙示録,0,冷気の魔法書 [2],0,セリア=アルデカード,1
2224,チェン=リウ(転生二次職),囚人の腕輪,10000,研究記録,10000,思念体の髑髏,0,思念体の髑髏,0,亡者の冷気,0,覇王乱舞 [1],0,ブラッディクロス,0,チェン=リウカード,1
2225,ガーティー=ウー(転生二次職),囚人の腕輪,10000,研究記録,10000,思念体の髑髏,0,思念体の髑髏,0,亡者の冷気,0,ブラックウィング [1],0,ブラックキャット,0,ガーティー=ウーカード,1
2226,アルフォシオ=バジル(転生二次職),囚人の腕輪,10000,研究記録,10000,思念体の髑髏,0,思念体の髑髏,0,亡者の冷気,0,エレキギター,0,コントラバス [2],0,アルフォシオ=バジルカード,1
2227,トレンティーニ(転生二次職),囚人の腕輪,10000,研究記録,10000,思念体の髑髏,0,思念体の髑髏,0,亡者の冷気,0,ラプチャーローズ,0,ローズバイン,0,トレンティーニカード,1
2228,ランデル=ロレンス(転生二次職)(オーラ),勇者の意思,0,真紅の渇き,0,亡者の冷気,0,キャノンスピア [1],0,死の櫃,0,ギガントシールド [1],0,戦死者のマント,0,古びた赤い箱,0
2229,エミュール=プラメール(転生二次職)(オーラ),勇者の意思,0,真紅の渇き,0,亡者の冷気,0,赤いスクエアバッグ [2],0,死の櫃,0,サバス,0,戦死者のマント,0,古びた赤い箱,0
2230,セリア=アルデ(転生二次職)(オーラ),勇者の意思,0,真紅の渇き,0,亡者の冷気,0,メンタルスティック [1],0,死の櫃,0,フレイムグローブ [1],0,戦死者のマント,0,古びた赤い箱,0
2231,チェン=リウ(転生二次職)(オーラ),勇者の意思,0,真紅の渇き,0,亡者の冷気,0,スラッシュ,0,死の櫃,0,ブラッディクロス,0,戦死者のマント,0,古びた赤い箱,0
2232,ガーティー=ウー(転生二次職)(オーラ),勇者の意思,0,真紅の渇き,0,亡者の冷気,0,ルドラの弓,0,死の櫃,0,エキサーサイズ,0,戦死者のマント,0,古びた赤い箱,0
2233,アルフォシオ=バジル(転生二次職)(オーラ),勇者の意思,0,真紅の渇き,0,亡者の冷気,0,グリーンホイッスル [1],0,死の櫃,0,クリティカルリング,0,戦死者のマント,0,古びた赤い箱,0
2234,トレンティーニ(転生二次職)(オーラ),勇者の意思,0,真紅の渇き,0,亡者の冷気,0,ダンスシューズ [1],0,死の櫃,0,ダンスシューズ [1],0,戦死者のマント,0,古びた赤い箱,0
2235,ランデル=ロレンス(転生二次職)(MVP),ソードマンの魂,0,カルニウム,0,ブラディウム,0,エッジ,0,古いカード帖,0,ロンギヌスの槍,0,古びた赤い箱,0,ランデル=ロレンス（MVP）カード,1
2236,エミュール=プラメール(転生二次職)(MVP),マーチャントの魂,0,カルニウム,0,ブラディウム,0,エンドセクション [1],0,古いカード帖,0,オペレーションコート [1],0,古びた赤い箱,0,エミュール=プラメール（MVP）カード,1
2237,セリア=アルデ(転生二次職)(MVP),マジシャンの魂,0,カルニウム,0,ブラディウム,0,カースダガー,0,古いカード帖,0,古代の金装飾 [1],0,古びた赤い箱,0,セリア=アルデ（MVP）カード,1
2238,チェン=リウ(転生二次職)(MVP),アコライトの魂,0,カルニウム,0,ブラディウム,0,ベルセルク,0,古いカード帖,0,カドリール,0,古びた赤い箱,0,チェン=リウ（MVP）カード,1
2239,ガーティー=ウー(転生二次職)(MVP),シーフの魂,0,カルニウム,0,ブラディウム,0,アズールネイル,0,古いカード帖,0,カタパルト [2],0,古びた赤い箱,0,ガーティー=ウー（MVP）カード,1
2240,アルフォシオ=バジル(転生二次職)(MVP),アーチャーの魂,0,カルニウム,0,ブラディウム,0,ウィーダーナイフ,0,古いカード帖,0,クリーパーボウ [2],0,古びた赤い箱,0,アルフォシオ=バジル（MVP）カード,1
2241,トレンティーニ(転生二次職)(MVP),アーチャーの魂,0,カルニウム,0,ブラディウム,0,ドラゴンウィング,0,古いカード帖,0,月光剣,0,古びた赤い箱,0,トレンティーニ（MVP）カード,1
2242,飢えた実験動物(デザートウルフ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2243,飢えた実験動物(子デザートウルフ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2244,チャンピオン,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2277,ローラ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2278,エルヴィラ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2279,ソヒョン(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2280,ルド(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2309,ブギスギス,綺麗な花,2000,神秘的な花,1500,裏返しのシャツ,1000,エルニウム,150,リンゴ,0,リンゴ,0,リンゴ,0,ブギスギスカード,1
2310,エンカント,綺麗な花,1000,清楚な花,1500,裏返しのシャツ,800,オリデオコン,50,リンゴ,0,リンゴ,0,リンゴ,0,エンカントカード,1
2311,マナナンガル,銀のブレスレット,0,清楚な花,0,赤いコウモリの翼,0,こうもりの牙,0,裏返しのシャツ,0,リンゴ,0,リンゴ,0,マナナンガルカード,1
2312,マンククーラム,銀のブレスレット,2000,清楚な花,1000,ぼろぼろの服,1000,裏返しのシャツ,1000,催眠術師の杖 [2],100,リンゴ,0,リンゴ,0,マンククーラムカード,1
2313,ティクバラン,綺麗な花,1200,清楚な花,2000,神秘的な花,1200,ティクバランの背骨,300,リンゴ,0,リンゴ,0,リンゴ,0,ティクバランカード,1
2314,チャナック,銀のブレスレット,0,神秘的な花,0,裏返しのシャツ,0,ぬめぬめする液体,0,イジドル,0,リンゴ,0,リンゴ,0,チャナックカード,1
2315,ワクワク,銀のブレスレット,0,神秘的な花,0,べとべとする液体,0,裏返しのシャツ,0,イジドル,0,リンゴ,0,リンゴ,0,ワクワクカード,1
2316,ジェジェリン,ジェジェゼロピー,2544,清楚な花,439,神秘的な花,88,綺麗な花,351,リンゴ,0,リンゴ,0,リンゴ,0,ジェジェリンカード,1
2317,ビョンウンゴ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2318,憤怒のビョンウンゴ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2319,ブワヤ,古代の呪符,0,ブワヤ人形,0,古代の呪符,0,ブワヤのフードマント,0,カラサック,0,ブワヤの魂の欠片,0,リンゴ,0,ブワヤカード,1
2320,バコナワ(第一形態),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2321,バコナワ(第二形態),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2322,バコナワ(第三形態),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2327,忌み木のビョンウンゴ,古代樹の杖,0,古代の呪符,0,ビョンウンゴ人形,0,ビョンウンゴの魂の欠片,0,ビョンウンゴブーツ,0,カラサック,0,リンゴ,0,ビョンウンゴカード,1
2328,太鼓,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2329,ブワヤの卵,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2330,働きブワヤ,ドラゴンの尻尾,0,ドラゴンの鱗,0,ハチ蜜,0,ドラゴンの皮,0,ドラゴンの牙,0,ドラゴンベスト [1],0,黄金,0,リンゴ,0
2331,水草,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2332,ブワヤの影,ドラゴンの尻尾,0,ドラゴンの鱗,0,ハチ蜜,0,ドラゴンの皮,0,ドラゴンの牙,0,クレイトス大地の裂け目,0,宝箱,0,リンゴ,0
2333,箱のひび,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2334,悪夢のワクワク,銀のブレスレット,0,神秘的な花,0,べとべとする液体,0,裏返しのシャツ,0,イジドル,0,リンゴ,0,リンゴ,0,リンゴ,0
2335,バコナワの宝箱,ゲラドリア,10000,古代の呪符,10000,黄金,2000,バコナワ人形,2000,バコナワの鱗鎧,1100,カラサック,200,バコナワの魂の欠片,30,バコナワカード,1
2338,悪夢のマナナンガル,銀のブレスレット,0,清楚な花,0,赤いコウモリの翼,0,こうもりの牙,0,裏返しのシャツ,0,リンゴ,0,リンゴ,0,リンゴ,0
2339,悪夢のマンククーラム,銀のブレスレット,0,清楚な花,0,ぼろぼろの服,0,裏返しのシャツ,0,催眠術師の杖 [2],0,リンゴ,0,リンゴ,0,リンゴ,0
2340,悪夢のチャナック,銀のブレスレット,0,神秘的な花,0,裏返しのシャツ,0,ぬめぬめする液体,0,イジドル,0,リンゴ,0,リンゴ,0,リンゴ,0
2353,グレイヴミノタウロス,鼻輪,9454,レモン,900,サードオニキス,1090,オリデオコン,300,串バーベキュー,90,達人の斧 [2],50,牛カルビ,10,グレイヴミノタウロスカード,1
2354,グレイヴマミー,くさった包帯,9000,死者の遺品,578,オリデオコン,0,エルニウム原石,82,銀の指輪,82,リンゴ,0,リンゴ,0,グレイヴマミーカード,1
2355,グレイヴベリット,止まらない心臓,8000,くさった包帯,2000,白ハーブ,2000,ジャルゴン,500,リンゴ,0,リンゴ,0,リンゴ,0,グレイヴベリットカード,1
2356,グレイヴミミック,光の粒,0,光の粒,0,エルニウム原石,0,拡大鏡,0,設置用トラップ,0,エンペリウム,0,古い紫色の箱,0,グレイヴミミックカード,1
2357,グレイヴミミック(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2358,グレイヴアクラウス,ジャルゴン,0,丸形の皮,0,丸形の皮,0,けっこうかたい皮,0,レッドジェムストーン,0,緑ポーション,0,べとべとする液体,0,グレイヴアクラウスカード,1
2359,グレイヴアクラウス(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2360,グレイヴクラウンマミー,くさった包帯,0,古代のルーン原石,0,オリデオコン,0,エルニウム,0,宝箱,0,リンゴ,0,リンゴ,0,グレイヴクラウンマミーカード,1
2361,グレイヴクラウンマミー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2362,アメンホテプ,古い紫色の箱,0,ロゼッタストーンの欠片,0,古いカード帖,0,イグドラシルの実,0,スフィンクス帽,0,セイフティリング,0,タブレット [1],0,アメンホテプカード,1
2363,メンブリッツ,蛾の羽粉,8000,華やかな妖精の翼,2500,大きな蝶の羽,1000,かたい触角,400,世界樹のほこり,200,ピオニーマミー,0,リンゴ,0,メンブリッツカード,1
2364,ペタル,どんぐり,8000,大量のどんぐり,2500,まだ青いどんぐり,1000,暗闇の破片,250,ぴしゃりハーブ,100,スノーフリップ,100,リンゴ,0,ペタルカード,1
2365,チェネレ,ほこりの塊,6000,有毒ガス,3000,粉じん,3000,煙幕粉,4250,オイルボトル,2500,黒色火薬,3750,催涙ガス,0,チェネレカード,1
2366,毀損された古書,落ち葉のしおり,5000,追憶のしおり,3500,古い本のページ,2500,木屑,2000,なめらかな紙,500,カビの粉,2000,分厚い本 [1],0,毀損された古書カード,1
2367,ヴァッサー・リヒテルン,星の粉,4000,鉄鉱石,2000,ミスティックフローズン,500,石炭,1000,オリデオコン原石,500,ガンパウダー,0,スノーフリップ,0,ヴァッサー・リヒテルンカード,1
2368,ゲルブ・リヒテルン,星の粉,0,鉄鉱石,0,石炭,0,ラフウィンド,0,オリデオコン原石,0,世界樹のほこり,0,ガンパウダー,0,ゲルブ・リヒテルンカード,1
2369,フンケ・リヒテルン,鉄鉱石,0,星の粉,0,石炭,0,フレイムハート,0,オリデオコン原石,0,ガンパウダー,0,ピオニーマミー,0,フンケ・リヒテルンカード,1
2370,フェルス・リヒテルン,鉄鉱石,0,石炭,0,星の粉,0,グレイトネイチャ,0,ガンパウダー,0,オリデオコン原石,0,ぴしゃりハーブ,0,フェルス・リヒテルンカード,1
2371,リヒトヘルシャー,目薬,0,小さな水差し,0,アルコール,0,ディトリミン,0,カルボーディル,0,リンゴ,0,リンゴ,0,リヒトヘルシャーカード,1
2375,怪しい存在,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2376,魔王の部下,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
2379,靴下スモーキー,いも,10000,穴が開いている赤い靴下,2000,穴が開いている赤い靴下,2000,穴が開いている赤い靴下,2000,穴が開いている赤い靴下,2000,リンゴ,0,プレゼントボックス（赤）,0,スモーキーカード,1
2384,テンタクルス(1),ヨルムンガンドの花,0,冷たい氷,0,マジカルブレード [2],0,海軍士官帽 [1],0,水夫の帽子 [1],0,リンゴ,0,リンゴ,0,リンゴ,0
2385,テンタクルス(2),ヨルムンガンドの花,0,冷たい氷,0,マジカルブレード [2],0,海軍士官帽 [1],0,水夫の帽子 [1],0,リンゴ,0,リンゴ,0,リンゴ,0
